Aircraft,AirlineName,CabinType,DateFlown,DatePub,EntertainmentRating,FoodRating,GroundServiceRating,OriginCountry,OverallScore,Recommended,Review,Route,SeatComfortRating,ServiceRating,Slug,Title,TravelType,TripVerified,ValueRating,WifiRating,unique_id
,Aeromar,Economy Class,Jun-18,3rd June 2018,0,0,1,Chile,1,no,"I paid $365 for a direct flight from Oaxaca to Tuxtla Gutierrez in Mexico. This airlines baited and switched me by canceling the direct flight and they changed the ticket to Aeromexico with connecting flights and a longer trip that I can now by for $158. They would not refund the flight and i unfortunately booked it with Priceline (who has the worst customer service in the known universe), so I received no assistance whatsoever and options that were not properly explained to me. When I phoned Aeromar, I was greeted by a completely rude agent who was less than helpful. I would strongly advise against booking anything with this airlines.",Oaxaca to Tuxtla Gutierrez,0,0,aeromar,strongly advise against,Couple Leisure,Trip Verified,1,0,6e3c3312-1520-4e2a-bd52-ce8c68e25fca
,Aeromar,Economy Class,Dec-17,27th January 2018,1,1,1,Canada,1,no,"Ixtapa Zihuatanejo to Acapulco via Mexico City. My 17-yr old daughter had the misfortune to come in contact with Aeromar and the lack of services while she was on route to Acapulco, on December 23, 2017. She had two connecting flights with Aeromar Airlinesone which was delayed and caused her to missed her final flight to Acapulco. The flight that was delayed was Flight 522. This flight from Ixtapa, to Mexico City was delayed fourty minutes and therefore, she arrived late to her gate to board flight 907, to her final destination, which was Acapulco. She was denied boarding, and there was no help from anyone from Aeromar, after whoch was not permitted to board. My 17-yr old, started her holidays stranded in a foreign country, in a busy airport and just left to her demise. I tried contacting the airline, no one answered, I contact which tried to get in touch with costumer service, and the booking agent, was not able as well. What is disgusting, is that not a single of the airline personnel working that night, offered to help, my daughter was just turned away and you did not care, specially, since it was the airline's fault in the first place that she missed her flight. My daughter had a panic attack, was afraid, and I had to sort all this out from Canada. To my misfortune, I had to buy, yet another ticket from Aeromar, for the next day, as well as find accommodations for the night. The travel agency which helped me book this trip, has made numerous attempts to resolve this, and nothing has been resolved yet.",Ixtapa Zihuatanejo to Acapulco via Mexico City,1,1,aeromar,nothing has been resolved yet,Family Leisure,Trip Verified,1,1,6d12e986-82f4-48e8-a331-d048166e1214
Ate,Aeromar,Economy Class,Jan-18,4th January 2018,0,2,1,Spain,1,no,"Ixtapa-Zihuatanejo to Mexico City. Once more a delayed flight, just three hours but without any guarantee. Just ""we hope that more or less at 4pm we will have a plane"". Incompetent and unfriendly staff, truly the bad side of Mexico, just the image the country does not want to give. Everybody here gives you the impression that they want you out of their face and expect you to be thankful that there might be a flight after all. Which is not yet secured.",Ixtapa-Zihuatanejo to Mexico City,3,3,aeromar,Incompetent and unfriendly,Family Leisure,Trip Verified,1,0,f9cd7fac-1d33-4d94-a825-a3fc8a169657
,Aeromar,Economy Class,Dec-15,14th January 2016,0,4,4,UnitedStates,8,no,Puerto Escondido to Mexico City on Aeromar. Small plane and we left about 30 minutes late. Plane was not full and just one stewardess working the flight. The plane appeared to be new. It was in excellent condition in the cabin. Service was excellent but it was very expensive for a flight of less the two hours.,PXM to MEX,5,5,aeromar,service was excellent,Solo Leisure,,1,0,3711f3c0-b547-40b4-91e9-79d167036f2a
,Adria Airways,,,18th March 2004,0,0,0,,,no,Flew march 12/14 on JP from ZRH-LJU-ZRH. The flights were on time the flight attendants nice and helpful. The sandwich has got an upgrade and is now equal to LH. A Minus point was that they were handing out only Apple Juices - if you wanted to have wine or other drinks you had to ask specifically for it. This gives me kind of a cheap impression as it seems to the passenger that they wanted to hide it from them. The wine they served was below industry standards and not what a wine country like Slovenia should serve its guests on their trip to the country. I absolutely agree that on such short legs there is no necessity of any food/drinks however either this is clearly defined in the service guide of the airline or then crews should adhere to their service guidelines.,,0,0,adria-airways,Adria Airways customer review,,,0,0,c8d2ac01-4385-4d57-a53d-ff5c59a71c51
,Adria Airways,,,1st November 2003,0,0,0,,,no,Round trip LGW - LJU in Business Class. Check-in staff at LGW very efficient and friendly. A320 clean and staff most helpful. Food and Wine need improvement. Flights all on time and overall a pleasant experience.,,0,0,adria-airways,Adria Airways customer review,,,0,0,d46bfb23-82e9-4439-9029-51fec60125c0
,Adria Airways,,,31st July 2003,0,0,0,,,no,In July 2003 I flew London (Gatwick)-Ljubljana-Skopje return in Business Class. Overall I was quite impressed. All flights departed and arrived on time and the onboard service was efficient and reasonably friendly. Hot meals were served on all flights although the quality of these varied from disgusting to just OK. All drinks were complimentary. The aircraft (A320 and CRJ) were modern and spotlessly clean. Business Class seating is identical to economy with a moveable curtain. Transiting at Ljubljana was painless although it is a very small airport and the Business Class lounge is nothing special. I would happily fly with them again although they do need to improve the quality of their meals.,,0,0,adria-airways,Adria Airways customer review,,,0,0,59906946-7010-49d1-959f-67e720e4134e
,Adria Airways,,,6th December 2002,0,0,0,,,no,I have just returned from a long weekend in Ljubljana flying on Adria from London Gatwick. The outbound flight was ok (food portions were a bit stingy given the 2 hour 20 minute flight time) and we arrived early into Ljubljana. Beware about arriving on a Saturday - the coach to the city centre are few and far between. I ended up taking a taxi which cost me 6500 SIT (about UKP 20) whereas the bus was 600 SIT (1.40). On the return flight Adria cancelled the flight for 'technical reasons'. Judging by the low number of people that went to the passenger service counter I think the reason for cancellation may have been more economic than technical. I was rerouted via Munich which added over an hour and a half to the journey and we flew into Heathrow (with BA) instead of Gatwick which left me with a useless train ticket and no way of getting home. The flight to Munich with Adria was good and an edible snack was served with apple juice. Despite the problems with the return journey Adria seems to be a reasonable airline and is an ok (if not the only) choice to get to this country.,,0,0,adria-airways,Adria Airways customer review,,,0,0,490aae51-da38-4f86-b0b1-5c110bd651e7
,Adria Airways,,,25th August 2002,0,0,0,,,no,I have flown Adria recently on a LH code share from Munich to Ljubjana and return. In both cases the plane was a brand new CRJ. Both flights were really smooth and the crews really efficient and helpful. Pilots kept us informed about everything during both flights. It was sunset and dusk and the flight over the alps was absolutely scenic. Despite the narrow cabin of the CRJ the pitch is quite generous and the leather seats comfortable. Both flights lasted 45 minutes and from MUC to LJU I travelled tourist class. Normally in short flights there isnt time for much than a drink. We receive an apple juice a cheese and salad sandwich plus coffee and tea. The LJU-MUC and due to an overbooking was on business. We were offered an orange juice prior to departure and then a tasty breakfast consisting in bacon and scramble eggs fruit salad a croissant and coffe and tea. Superb for such a short segment. Not being a prime choice its an airline which is pleasant to flight.,,0,0,adria-airways,Adria Airways customer review,,,0,0,270825e2-1888-4887-867c-e071a4b9de96
,Aeromar,Economy Class,Apr-12,25th April 2012,0,4,4,Mexico,7,yes,"Fly 10 or 12 times a year Mexico City to Ciudad Victoria. Planes are small Fokker Turboprops. Always very friendly staff and have been on time. Seats are rather small, an excellent lounge with drinks and snacks at a number of airports. Service onboard with snacks and drinks are adequate.",MEX to CVM,4,4,aeromar,very friendly staff,Business,,4,0,06c66035-3ee0-431c-b9da-e648a75fdd20
,Aerosur,Economy Class,,9th August 2012,3,4,0,China,8,yes,Shanghai to Tehran return July 2012. Direct flight to Tehran. Economy class. Aircraft A310. Fare was quite good. Check-in fast. Cabin crew showed Iranian hospitality. No individual inflight entertainment but fairly speaking since the flight was at night. One toilet closed for whole trip the other two were not clean and almost out of tissue. Food was enough and fine for me. Many drink options. Flying time was less than 10 hours on my way to Tehran and less than 8 on the way back to Shanghai. Considering all the above I will certainly choose this airline next time for my trip to Tehran.,,4,4,aerosur,Aerosur customer review,,,4,0,4c6680e8-5dc1-4de9-8369-ee3b25e53508
,Aerosur,Economy Class,,28th February 2012,1,3,0,Iran,7,yes,DXB-IKA. A300-600 aircraft clean cabin with friendly flight attendants variety of meals were good but the quality of meal was very poor.,,1,5,aerosur,Aerosur customer review,,,3,0,d3fd864e-880e-498d-ac8c-ffaaa053e506
,Aerosur,Economy Class,,21st October 2011,1,1,0,UnitedStates,1,no,Madrid - Santa Cruz B747-400 economy. Checked in at Palma okay on connection but no through booking for seats. Check in at Madrid and Aerosur cabin luggage allowance less than originating airline (through ticket) so cabin bag removed and put in hold. Entering plane strong toilet odour throughout the cabin. Generally a very dirty cabin interior with hard uncomfortable seating. No inflight films available. Bar service once glass of wine and water. Cabin staff said they had run out. Dinner was a greasy stodgy rice. I've got my return to look forward to - and all for £1450.00 return. Awful - I do this trip 3 times a year and nobody else treats passengers like this.,,1,1,aerosur,Aerosur customer review,,,1,0,0f58b1ed-19b6-41d4-9cd3-2a2d75e46d6c
,Aerosur,Economy Class,,24th April 2011,0,0,0,UnitedKingdom,4,no,Santa Cruz to La Paz. The flight we were booked on was cancelled two days in advance and we were switched to a later flight. This flight was then delayed by over an hour and there was no information given as to how long the delay would be - the aircraft just didn't turn up. Once finally on board no acknowledgement of the delay but otherwise ok - a small sandwich and drink were served which was fine for such a short flight. The aircraft was quite old although not as old as some others we saw - they still use 727s for some flights.,,0,0,aerosur,Aerosur customer review,,,1,0,137032ca-3271-4802-89d6-9b8c4577205f
,Aerosur,Economy Class,,1st January 2011,0,0,0,UnitedKingdom,,no,Zero: contact their reservation/sales desk by sending 7 emails in Spanish and English. To this day I never received any reply of any kind. Still don't have my reservation code so still unsure if my reservation exist. Have not travelled yet so can not rate on board experience.,,0,0,aerosur,Aerosur customer review,,,1,0,d0a00a25-bd3b-43f2-b461-0fa51de1608e
,Aerosur,,,20th April 2010,0,0,0,,1,no,Buenos Aires to Miami with a delay in the output of Buenos Aires 5hrs. After a scheduled stopover in Santa Cruz in Bolivia suffered a further delay of 4 hours. In addition to this as the plane that took us up was very small for the flight he was forced to make an additional stop to fuel in Cali Colombia. The planes we had to take us to get to Miami were dirty with broken seats no kind of entertainment (such as TV). The poor and inattentive staff of course had to deal with few resources. The return flight similar. Delays old planes but most of the journey by plane Miami-Santa Cruz had a noise in your engine that was intolerable to the ears. Large number of passengers frightened by the strange sound was heard constantly.,,0,0,aerosur,Aerosur customer review,,,0,0,5ae3357e-b15d-4bc4-b77b-1cbe2138d8f3
,Aerosur,,,23rd August 2009,0,0,0,,6,no,Santa Cruz to Cochabamba Cochabamba to La Paz. This airline tries hard to fill the gap left by the collapse of Aero Lloyd Boliviano but is still plagued by constant changes to schedules usually because the aircraft flying the international route (Brazil) is late in arriving in Santa Cruz and therefore delays the local flights. It also tends to overbook flights and then moves confirmed ticket holders to later flights (it is really important to reconfirm flights) and will even change flight schedules back in time so flights depart 2 hours earlier then scheduled. The airline is fine if you are not in a hurry and don't mind delayed flights changed schedules and don't mind having confirmed tickets ignored.,,0,0,aerosur,Aerosur customer review,,,0,0,55138bf8-3d53-422d-9bea-71bf5f6f29e7
,Aerosur,,,8th October 2007,0,0,0,,,no,Santa Cruz Bolivia to Sao Paulo Brazil - a saving of about $50US over GOL. At the airport check-in was easy. I recommend that you arrive early to avoid the impending line. The counter staff was as friendly and they did not charge me for my extra luggage weight. I was impressed by the 737 that AeroSur is using on this international flight [do note that most AeroSur flights use aging 727s]. The flight attendants served a box meal and drinks on this two hours flight and we arrived on time. .,,0,0,aerosur,Aerosur customer review,,,0,0,3a5de0a2-c24f-4489-be4d-ba254aa3ede8
,Aerosur,,,4th October 2007,0,0,0,,,no,La Paz - Sucre in an ex-Mexicana 727. Ticketing process is manual and very slow - beware and get your tickets before the airport! We were handed a little snack bag as we boarded then served drinks on board - a great way to provide good service on a short flight.,,0,0,aerosur,Aerosur customer review,,,0,0,f65fb6ed-9a9b-458a-90c0-3e2559ad41ff
,Aerosur,,,29th September 2007,0,0,0,,,no,Santa Cruz Bolivia to Sao Paulo Brazil. At the airport check-in was easy. It pays to arrive early and avoid the impending line. The counter staff was friendly and they did not charge me for my extra weight (about 4 kilos). I was impressed by the new 737 that Aerosur used on this leg - most AeroSur flights use older 727. The flight attendants served a box meal and drinks on a 2 hours flight and we arrived on time. I would use them again for this route.,,0,0,aerosur,Aerosur customer review,,,0,0,1b01ea05-fff5-4493-9542-47ad66046b37
,Aerosur,,,23rd April 2007,0,0,0,,,no,AeroSur has become the leading Bolivian airline after the breakdown of Lloyd Aereo Boliviano (LAB). VVI-CBB-TJA. Checking in took about forever and the Aerosur ground staff forgot to mention airport tax that still had to be paid. This was mentioned by security officers with only 15 minutes to go. We still made it on time despite the lack of help of ground staff. TJA-VVI. While checking in I was offered to take a flight right way or two hours later. I choose the latter but was refused because the luggage guy had already tagged my suitcase for the early flight. Of course they couldn't get it back. Again total lack of service of ground staff. The flights were ok albeit not on time. Flying in these countries is never on time. Despite all this I would certainly choose AeroSur next time but only because there's no reasonable alternative.,,0,0,aerosur,Aerosur customer review,,,0,0,a81c93a1-5c46-406a-ac5a-737ad25f5a8d
,Africa World Airlines,Premium Economy,May-21,4th May 2021,1,1,1,UnitedStates,1,no,"Africa World Airlines is unclean, unsafe, unpunctual and unconcerned. My premium economy flight from Kumasi to Accra was delayed by 2 hours after checking in but nobody from the airline told us any reason. All the passengers were crowded into a small area with no social distancing as if there was no pandemic happening. When we finally boarded the flight, the hostess was constantly removing her nose mask to flirt with some politician in the front seat. I asked her for a cup of coffee and was refused because she said only water is allowed due to COVID. For the extra price that we are paying for premium economy and the number of hours that they hold us hostage we deserve better! The seat was dirty and the armrest plastic was chipped, while the signs on the ancient noisy plane were all in Chinese. You could feel the plane shaking the whole time during the flight which makes you wonder if they even do proper maintenance. We finally reached our destination nearly 3 hours late but my baggage did not arrive. There were people from earlier flights also waiting there for their bags so this seems to be a very common thing. The airport staff were rude and told us to wait and maybe our bags would come, maybe not. I wound up missing my flight on Turkish Airlines while waiting for the bag and had to pay for a hotel and to get a new PCR test to travel the next day. I will never fly with this airline again even if it was the last airline in the world and nor will I allow my loved ones to risk their lives. Next time I will just take the VIP bus from Kumasi to ensure I arrive in comfort and punctuality.",Kumasi to Accra,1,1,africa-world-airlines,"unclean, unsafe, unpunctual and unconcerned",Solo Leisure,Trip Verified,1,0,ec83f120-e9c1-44d9-a923-3ae523e3a0bd
,Africa World Airlines,Economy Class,Apr-21,20th April 2021,0,0,1,Ghana,2,no,"Needs to hold itself accountable for their actions. Arrived at our destination only to realize about 99% of passenger's luggage was not on the flight. Only one passenger had her luggage, how was this even possible? Had to wait for about 2 hours more without any form of compensation. What was even more annoying was the fact that they didn't seem to care much about it as many clients were frustrated with the situation. They need serious competition from another domestic airline in Ghana.",Accra to Tamale,2,4,africa-world-airlines,Needs to hold itself accountable for their actions,Business,Not Verified,2,0,c14e5056-776c-4117-ab0c-7a3a10608ebf
,Africa World Airlines,Economy Class,Aug-20,12th October 2020,1,1,1,Ghana,1,no,AWA needs to be held accountable for their bad service. They have never been on time ever in all the times that I have flown on their planes. The planes are small and old and dirty and staffs are rude and arrogant. It is normal for your flight to be two or three hours delayed every time. But if you come even one minute late for checking in they will sell your seat to another person and make you buy it again. During the flight they used to give sandwiches and pastries and juices but now only water is given for flights of almost one hour. Also during the Covid times they are not maintaining any social distancing on the plane.,Kumasi to Accra,1,1,africa-world-airlines,They have never been on time,Family Leisure,Trip Verified,1,1,0967d106-7ffc-4028-ac14-9172099ab850
Embraer,Africa World Airlines,Economy Class,Sep-20,22nd September 2020,0,1,1,UnitedKingdom,1,no,"Africa World Airlines is the worst airline in the world.  I was supposed to fly from Lagos to Accra on the 3rd of September, but my flight was cancelled without notice. I tried to travel again on the 7th of September but this was also cancelled. They have no office in Lagos so I had to drive all the way to the airport every day, only to find that they were closed. I was finally able to book my flight after paying 20,000 Naira to one of the airport workers who knew someone who worked there. They also require you to pay 50,000 Naira to take an expensive Covid test before they allow you to board their flights. When I reached the airport for travel, they refused to check me in because I was wearing a face shield instead of a mask and they made me pay extra to buy a mask from one of the airport shops. Then when we arrived in Ghana, they charged me another £120 to take another test at the airport there. Why can't they just charge one single price for their services instead of advertising one price and then trying to squeeze more money out of their poor customers? The Covid tests should also be free for their passengers instead of trying to make even more profit from us who are struggling with reduced income in the pandemic. I will never fly with this airline again.",Lagos to Accra,1,1,africa-world-airlines,never fly with this airline again,Solo Leisure,Trip Verified,1,0,78eefd88-b55e-4ad6-9f1c-48a25915ba38
,Africa World Airlines,Economy Class,Mar-20,9th April 2020,0,0,1,Canada,1,no,"Accra to Freetown. Terrible service. 4 hours before our scheduled flight and cancelled our flight. There was no notice from the airline, we received the email after we were told that it was cancelled. The customer service response was not professional. When asked for why it was cancelled, we were notified that it was a technical problem which is surprising that 4-hours before the flight, only then did they think about confirming a cancelled flight. Normally, airlines would provide compensation to make sure the customer is not inconvenienced. Their first question was, ""do you have a place to stay here in Ghana?"" This of course should not be the first question to ask a customer who is not from the country. Had it not been for the collective anger and frustration of all passengers on the original flight, there would not have been any quick movement to get us on another flight. Even though it is a small airline or growing airline, the experience was more frustrating for us as a customer. Lastly, the manager or person in charge of transferring us to another flight did not care enough to get our contact information to notify us that we had successfully been transferred to another flight. Instead, when we happened to pass by again he looked at us surprised saying ""Why are you here? You should be checking in right now at the other airline!"". When we were never told of such thing at all. Overall, a frustrating experience and not looking to book with Africa World Airlines ever again. I would hope to be wrong and they improve, but the stress and risk of surprise cancellation are not worth entertaining the cheaper fare. I cannot comment on inflight experience because - well, I didn't fly with them.",Accra to Freetown,1,1,africa-world-airlines,not worth the cheaper fare,Solo Leisure,Trip Verified,1,0,cd27b1e2-7bf3-44d4-ad85-70a371a98fb8
,Africa World Airlines,Economy Class,Nov-19,20th March 2020,2,4,3,Ghana,1,no,"Accra to Kumasi. The flight was cancelled three times. I book the flight 2pm which was more expensive than travelling in the evening, but at long last I travel in evening which I don't like. And when I was coming was the same cancellation also three times cancellation",Accra to Kumasi,3,5,africa-world-airlines,cancelled three times,Solo Leisure,Not Verified,1,0,94327ab9-c065-4917-ab0a-09d97fb669fa
,Africa World Airlines,Economy Class,Feb-19,10th February 2019,0,2,1,UnitedKingdom,1,no,"Kumasi to Accra. Very bad service, my flight was delayed over 2hours and there was no communication from the staff as to the time we will board the flight. Neither did they show any sense of sympathy towards our being delayed. They completely ignored us knowing that there’s not much we can do. It mess up my business trip . I will surely not use this service again.",Kumasi to Accra,1,3,africa-world-airlines,not use this service again,Business,Trip Verified,1,0,2e707029-2f0a-4802-aef9-893d9f0bab9a
Embraer 145,Africa World Airlines,Economy Class,Feb-19,5th February 2019,0,5,1,UnitedKingdom,6,yes,"Tamale to Accra. Good onboard service, juice snack and a meat pastry. Thing that let it down was pre flight experience. Their online card payment system for the flight never works. It charged me twice for my flight and their customer service call centre is so shocking that after one month of trying they didn’t refund. Had to do a charge back through my card. They then cancelled my booking although I had still paid. They didn’t tell me they had cancelled it. I luckily checked my booking 2 hours before the flight.",Tamale to Accra,4,4,africa-world-airlines,call centre is so shocking,Solo Leisure,Trip Verified,3,0,7adf227d-a2cd-4376-87dc-81cfa9de2cf7
Embraer 145,Africa World Airlines,Economy Class,Feb-18,22nd February 2018,0,5,3,UnitedKingdom,10,yes,"Domestic flight Accra-Tamale. 1hr flight. One time in both directions. Water, juice and snack (fish or meat pie, savoury biscuits) provided on this short flight (more than you get on BA domestic/European flights three days). Friendly and very polite cabin crew. Marvellous captain who gave great information about the flight. Joint venture between Hainan Airlines (China), Hahn Airways and Ghanian investors. An excellent service which makes domestic travel much easier in Ghana",Accra to Tamale,4,5,africa-world-airlines,An excellent service,Business,Trip Verified,5,0,25692af7-c68f-4724-b259-38eaf979069f
,Afriqiyah Airways,Economy Class,,26th April 2011,0,0,0,UnitedKingdom,,no,I bought the ticket in February to travel to Kinshasa in April - in March all flights were cancelled because of the conflict in Libya. I went to the travel agency to ask about what I should do - the answer was to wait until the end of the conflict. Agency was unable to rebook me or to transfer to other airlines. I am having difficulties to find their offices in London or contacts - can someone help. I have lost my money and time and no one to help.,,0,0,afriqiyah-airways,Afriqiyah Airways customer review,,,1,0,eb3c37d8-79e0-461d-a07e-5032a2d26a80
,Afriqiyah Airways,Economy Class,,10th April 2011,0,0,0,UnitedKingdom,6,yes,Gatwick to Joburg (troubles just beginning to brew in Libya). The start seemed off putting when I noticed an extra three hours on the flight time from Tripoli to Joburg which the booking office could not explain also when I was not on the reservations list at check-in. However the latter was sorted without hassle. Service on flight to Tripoli was fine plane new and clean food good. However we landed in a sandstorm which was worrying. Fortunately we were herded along to the departures lounge as all signs in Arabic. Onward flight delayed by a couple of hours due to sandstorm. Toilets at the airport were inadequate in number but reasonably clean. We were then taken on what felt like a mystery tour on an airport bus down a dirt road - turned out to be to the other end of the runway where our plane sat all on its own amidst military aircraft. The three hour extra time was now clear as it was a much smaller plane than expected (a few passengers had seats allocated on row numbers which were not on the smaller plane - however there was enough room and extra for everyone boarding). Once again food and service fine. There was a refuelling stop at Kinshasa. During my week in S Africa the revolution in Libya took off. I expected to lose my money and have to rebook myself back on an alternative carrier. However when I contacted Afriqiyah in Joburg they said I was re-booked on Egyptair travelling back same night as my original booking. They sent me email confirmation and my trip home went smoothly. The Afriqiyah staff were helpful and efficient in spite of what was obviously a stressful time for them. On the basis of value for money Afriqiyah is excellent but be prepared for a journey with a difference.,,0,0,afriqiyah-airways,Afriqiyah Airways customer review,,,4,0,51726f04-cca4-45ef-8ac0-55c4f6124ae5
,Afriqiyah Airways,Economy Class,,9th January 2011,0,0,0,UnitedKingdom,3,no,I booked a flight to Lagos via Tripoli. We had delays at Gatwick but once in Tripoli we were told to wait two days for our connecting flight to Lagos which - totally unacceptable. We stayed in the airport from early Mon morning until monday evening stranded without any local currency and offered refreshments approx 11am. After a lot of protest we were put on flight approx 8pm that evening. This was my first experience with Afriqiyah and will be my last - despite the savings it wasn't worth the terrible experience. The lack of communication in Tripoli was disgraceful and =on the plane the staff were curt.,,0,0,afriqiyah-airways,Afriqiyah Airways customer review,,,1,0,8f58bd61-9cff-41f0-913a-a14f196deef0
,Afriqiyah Airways,Economy Class,,23rd December 2010,0,0,0,Belgium,7,yes,BRU-JNB-BRU with a stopover in Tripoli. There were some troubles with the in-flight entertainment. On our way to JNB there were not enough headsets so we couldn't use the inflight entertainment. On our way back from JNB to Tripoli the inflight entertainment in our part of the plane didn't work at all. The food was okay and the cabin crew friendly. It's definitely value for money but there are some things to improve.,,0,0,afriqiyah-airways,Afriqiyah Airways customer review,,,4,0,92c841a5-6947-4d01-9178-65e02b1dfd19
,Afriqiyah Airways,Business Class,,12th October 2010,0,0,0,UnitedKingdom,7,yes,LGW-TIP-LGW on A320/A330. Both flights approx 1 hour delayed Servisair lounge at LGW basic and overcrowded quiet lounge in Tripoli. Uncrowded flights - very few pax in Business cabin. Comfortable seats for 3 hr journey but angled lie-flat seats on A330 too short for me (1.80m). Food tasty (no alcohol of course) limited but OK film choice on AVOD. FAs sweet but not all spoke english. Be aware Tripoli airport can be difficult to navigate as all signage in Arabic only!,,0,0,afriqiyah-airways,Afriqiyah Airways customer review,,,4,0,2daa0ac6-6678-46e2-b5b3-6e5743b50be2
,Afriqiyah Airways,Economy Class,,12th July 2010,0,0,0,UnitedKingdom,8,yes,We flew to Johannesburg from London Gatwick via Tripoli to attend the World Cup. All flights near enough on time and a smooth transit through Tripoli. Tripoli airport is not too bad although I wouldn't like to spend more than a few hours there. The entertainment was good food as good as expected the were polite (but spoke little English) and the seats comfortable with sufficient leg room. I did get the impression that the staff were probably a little too laid back at times. Overall the value for money was excellent the customer service was good and the planes were modern (although they did need cleaning up a bit.),,0,0,afriqiyah-airways,Afriqiyah Airways customer review,,,4,0,a536b26c-a717-4feb-9053-67325b046bdc
,Afriqiyah Airways,Economy Class,,20th June 2010,0,0,0,UnitedKingdom,1,no,Firstly the take off was delayed with no announcements when we asked at the desk they just said 'we will go when we go'! Once on the plane we noticed it is empty so we had extra space but it looks like they failed to clean properly my table was covered in food smears when I asked for a wet towel to wipe it off I was told to 'just relax man just chill'! It was almost funny how clueless they were! Staff were friendly but no idea of customer service or professionalism. The quality of the food seems to be dependant of the airport you last left leaving SA or the UK the food was ok with a North African theme but when we left Tripoli the food was inedible. The flights are dry so they only serve warm juice or soda. The movies are heavily censored at first it's quite amusing but it gets irritating after a while. Woman's shoulders are blurred out and they even censor out all references to alcohol or gambling but blood death & murder are all good! Tripoli Airport is awful you can barely breath for the smoke and there's no organisation it's like going back it time.,,0,0,afriqiyah-airways,Afriqiyah Airways customer review,,,1,0,cb3d2886-2d2e-42d3-b16d-520ca71cf429
,Afriqiyah Airways,Economy Class,,26th May 2010,0,0,0,UnitedKingdom,8,yes,London Gatwick - Tripoli - Accra return. Tripoli to Accra was delayed a little as only one scanner was working so when they started boarding about half the passengers were still on the wrong side of the security check. The other flights were on time. Food good seats comfy checked luggage was where it should be price was excellent. Having read previous comments here I had to see how bad the loos at Tripoli airport could be and was disappointed : clean and even soap in the dispenser!,,0,0,afriqiyah-airways,Afriqiyah Airways customer review,,,4,0,2d0d5815-d511-4d48-82e2-ca1396463930
,Afriqiyah Airways,Economy Class,,19th March 2010,0,0,0,UnitedKingdom,8,yes,London -Johannesburg via Tripoli return. I took the precaution of travelling hand luggage only and making sure not to use the bathrooms during the stop over at Tripoli and was pleasantly surprised. The service matched any I've travelled with over the years and at half the price. Considering they offer the option of twice as much luggage in the hold as any other airline I've travelled with I might even travel with lots of luggage next time!,,0,0,afriqiyah-airways,Afriqiyah Airways customer review,,,4,0,072129ec-74fb-47dc-95f0-96d115de6865
,Afriqiyah Airways,Economy Class,,15th February 2010,0,0,0,France,8,yes,CDG-TIP-OUA out ABJ-TIP-CDG return. Excellent flight to TIP clean new A330 with good food and friendly staff. Flight to OUA similarly well presented. Unfortunately the flight from ABJ-TIP was operated by Nouvelair on Afriqiyah's behalf other passengers also noticed the difference with grumpy staff and terrible food. Happy to return to CDG with Afriqiyah again and more good service.,,0,0,afriqiyah-airways,Afriqiyah Airways customer review,,,4,0,98c11269-0af5-4e54-b9c4-2d7bb622cb0c
,Afriqiyah Airways,Economy Class,,23rd January 2010,0,0,0,UnitedKingdom,,no,Crew dreadful food cold - delays from start to finish on outbound and inbound. Tripoli is the filthiest most hostile place and staff bully passengers especially female. We were delayed for 8hrs and no one would help. They all smoke in the no smoking areas the toilets have to be seen to be believed. Brand new planes are good but there the value stops - it is just not worth the saving on flight costs.,,0,0,afriqiyah-airways,Afriqiyah Airways customer review,,,1,0,8a5e6aa2-7a50-4033-99cc-51d7b804462c
,Afriqiyah Airways,Economy Class,,23rd January 2010,0,0,0,UnitedKingdom,8,yes,"London Gatwick-Tripoli-Johannesburg return. I booked on price so my expectations were fairly low. The first three sectors were more or less on time fourth just under 30 minutes late. I was pleasantly surprised to find LGW check-in desk open nearly 4 hours before the scheduled departure time! Airline food is rarely very good in economy but Afriqiyah's compared quite favourably with most. My only criticism is that a couple of dishes were quite spicy - and a choice was not always offered. I was pleasantly surprised by the in-flight entertainment which had a modern touch-screen interface and seemed to be reliable. Legroom was good. For me the only negative issue really was Tripoli Airport. The departure lounge is small and not very comfortable. There were people smoking despite ""no smoking"" signs. Maybe smoking is only allowed in certain areas but the smoke carries everywhere. The toilets are in serious need of modernisation too. I was glad I didn't have to spend long there. The staff there were pleasant and helpful though. I would consider flying with Afriqiyah again if the price is right especially once the expansion and upgrading of Tripoli Airport is complete.",,0,0,afriqiyah-airways,Afriqiyah Airways customer review,,,4,0,9c7cc35d-a39f-4b39-a302-fcbfbdd7c876
